,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
10,31.2599608822,30.166738125,29.4588667992,28.0263057056,26.6412553626,26.0124293102,25.7311629325,25.4451505817,28.4065634013,27.5369497257,26.8442978646,26.5043033282,26.1952444979,25.9485737387,25.7959799403,25.712170148,25.519209606,25.4521455116,25.4076657351,25.3949015896,3.24285714286
11,32.0585827989,30.4624895116,30.0135502287,28.5839784216,27.0080453155,26.2708460257,25.9899289027,25.6839465499,28.8727117285,28.2099532291,27.3443134341,26.8236241285,26.498800803,26.0968141361,26.0607705895,25.9548654298,25.8158454394,25.7086216781,25.5998324971,25.5746595012,3.55714285714
12,32.843020372,30.8659150476,30.3545274833,29.0451447192,27.4576060127,26.5810369619,26.1765170686,25.9180719903,29.4680124357,28.6784858292,27.9623198226,27.1966095011,26.7814988554,26.4450887355,26.2082074691,26.1934353216,26.0469595759,25.9925705799,25.8177284188,25.7892334276,3.87142857143
13,33.6407381424,31.3168349977,30.5688332338,29.5106668974,27.934164994,26.8156891519,26.3866550809,26.1382201074,30.0281608619,29.0574505452,28.5074520063,27.6122650262,26.9698470371,26.6795423143,26.4000004934,26.3916383649,26.2467683593,26.1887095012,26.0864579778,26.0251967249,4.18571428571
14,34.2894549625,31.8102329353,30.7515268738,29.987306837,28.4323477009,27.048542618,26.5878186189,26.3489055163,30.4040789172,29.5024724023,28.9262957607,28.1889068838,27.2522026384,26.925013755,26.7126035611,26.4937390418,26.4548408688,26.3874169998,26.2927530637,26.2563924699,4.5
15,34.7762454806,32.4195448392,30.9802613624,30.4582891491,28.8838936077,27.2805932456,26.7736604698,26.5281317768,30.7741100611,30.0070182128,29.2522187368,28.6832678631,27.5667305748,27.1314484186,26.9169564636,26.7615826316,26.6272522502,26.5743552932,26.4699027161,26.4244917943,4.81428571429
16,35.0577578546,33.0135721762,31.2762430095,30.7025646249,29.2687815394,27.5102533728,27.0234390943,26.6605219441,30.9018303425,30.4484545632,29.6358899787,29.0622270003,27.8656349387,27.2997364496,27.1295708542,26.9806444901,26.7039677618,26.7678351806,26.618893757,26.5962476228,5.12857142857
17,35.1869255792,33.6417644765,31.6031888361,30.9463223105,29.6070151988,27.7812108569,27.204839888,26.8211837374,30.9456534726,30.8089091087,30.0542153498,29.3487375673,28.3641258701,27.4953312495,27.3180931652,27.166463832,26.8754674486,26.6928377072,26.8306295852,26.7445333248,5.44285714286
18,35.3661492834,34.2178850307,31.9741423967,31.0895233166,29.9368031976,28.0855235989,27.3753704228,26.9783691478,31.1166293384,31.0673576327,30.4908283905,29.654550249,28.8001573235,27.7452033208,27.4721093509,27.3618885228,27.1379113739,27.0709395593,26.9329559778,26.938753151,5.75714285714
19,35.627447153,34.7146269373,32.3613256242,31.2182585949,30.2860172674,28.4090816762,27.5443249532,27.1253481468,31.3339276245,31.1806781971,30.7921020718,29.9830798633,29.2242944994,27.985188499,27.6227440133,27.5135405503,27.2966186783,27.2167988318,26.882845924,26.9801219577,6.07142857143
20,35.9089401704,35.1095161647,32.8338783349,31.3725551642,30.6393032696,28.7237094613,27.7181779359,27.2672520418,31.5581039744,31.1947797775,31.1249191944,30.4073921054,29.4406047854,28.2762835179,27.8366948124,27.6489517706,27.4618248347,27.3647001072,27.2496493693,27.0165263052,6.38571428571
21,36.1943918537,35.4139557064,33.3082759577,31.5556522637,30.9713135421,29.0618391559,27.8843873396,27.4576687065,31.7966008161,31.3266806894,31.3016390879,30.7631492869,29.6799833341,28.6212772852,28.0441440233,27.7966838996,27.6256831195,27.5249319093,27.3767877131,27.3310476632,6.7
22,36.4724872199,35.5694894863,33.7567223859,31.7819438724,31.1726246895,29.3956241266,28.0678901448,27.6029409152,32.0716601861,31.4823952236,31.3939023115,30.9988031937,29.9330565275,29.0329303177,28.2682752203,28.0002500854,27.7493148733,27.6798063126,27.5123969937,27.4544041431,7.01428571429
23,36.7706395637,35.6556604057,34.2593008172,32.028114049,31.3469690556,29.6700739684,28.2917066385,27.7341834476,32.4333045047,31.6914017127,31.4306688296,31.3353906423,30.1587226194,29.3544073973,28.5375980412,28.1907679524,27.8690051115,27.8324806176,27.6592686638,27.5900441562,7.32857142857
24,36.8890873011,35.7546272923,34.6811254533,32.2967123929,31.4989096415,29.952405678,28.5226474786,27.8648911012,32.8237892714,31.8676675408,31.5289296022,31.524094575,30.5348291361,29.6463929873,28.8431429928,28.3937275195,27.996514872,27.8934289799,27.7962573987,27.729332436,7.64285714286
25,36.9506044371,35.9458699063,35.0709389215,32.5856775876,31.5961051737,30.1811088709,28.7786971016,28.0006179609,33.2125584774,32.0739623391,31.655963361,31.6010427537,30.9311972631,29.8423084487,29.2128959947,28.6356751491,28.172282458,28.0178955299,27.9508572916,27.8654462541,7.95714285714
26,37.0059533011,36.1499482034,35.3931813142,32.8948753044,31.7039420128,30.4010974314,29.0281965319,28.1360158288,33.6161256419,32.3063431823,31.8102443228,31.6251449741,31.0863267015,30.0267401674,29.502320197,28.9168644996,28.339333365,28.1745404698,28.0217419413,28.0024002214,8.27142857143
