,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
17,26.5205634374,26.2332170294,26.1762413355,26.2833152373,26.5364914969,26.9646119661,27.3460727378,27.7169222507,26.2407986763,26.3446680364,26.4577931769,26.5988573849,26.8260879026,27.0856376607,27.2615656316,27.385793698,27.5831261092,27.6698236554,27.8117941368,27.8726275138,5.44285714286
18,26.6946076881,26.3569577454,26.2651248635,26.3441218609,26.5763882793,26.9876834627,27.3603305831,27.7253802496,26.3072121114,26.3980254284,26.5021727767,26.6350863063,26.8530707975,27.1052405638,27.2772886504,27.3991651924,27.5932967629,27.6787270293,27.8188573373,27.878968132,5.75714285714
19,26.8693781734,26.4811548448,26.3541441459,26.4047501077,26.6158444706,27.0101117172,27.3738533162,27.7330489305,26.3735448658,26.4511321918,26.5461812795,26.6708410297,26.8794648513,27.1241678903,27.2922942436,27.4117954015,27.6026954349,27.6868473158,27.8251214878,27.8845036529,6.07142857143
20,27.0449752383,26.605952406,26.4434733238,26.4653938712,26.6550636058,27.0321045878,27.3868500368,27.7401378094,26.4399886732,26.5041870852,26.5900211391,26.7063268289,26.9054775821,27.1426282842,27.3067914797,27.4238936008,27.6115316165,27.694394087,27.8307962419,27.8894437558,6.38571428571
21,27.2214620621,26.7314527637,26.5332429879,26.5262029336,26.694205094,27.0538258753,27.3994858179,27.7468123889,26.5066911361,26.5573446918,26.6338506552,26.7417048551,26.9312724311,27.160786345,27.3209453965,27.4356250419,27.6199707828,27.7015329015,27.8360472422,27.8939541107,6.7
22,27.3988745533,26.8577267248,26.6235503909,26.5872931248,26.7333943457,27.075405441,27.4118918213,27.7532042734,26.5737658942,26.6107255637,26.6777941053,26.7771022614,26.9569788812,27.1787727439,27.334887116,27.4471210672,27.6281445073,27.7083954187,27.8410062355,27.8981664926,7.01428571429
23,27.5772286156,26.9848211646,26.7144670647,26.6487538953,26.7727303172,27.0969467395,27.4241728288,27.7594186995,26.6413002062,26.6644237812,26.7219492922,26.8126197417,26.9826999906,27.1966917559,27.3487213766,27.4584866417,27.6361579933,27.7150869303,27.8457786038,27.9021863124,7.32857142857
24,27.756525526,27.1127647363,26.806044567,26.7106540293,26.8122911977,27.1185324956,27.4364129172,27.7655402109,26.7093606719,26.7185126543,26.7663932345,26.8483372142,27.0085180715,27.2146269352,27.3625322073,27.4698060275,27.644095748,27.7216920342,27.8504490382,27.9060982917,7.64285714286
25,27.9367559412,27.2415722022,26.8983188649,26.7730460033,26.8521387431,27.1402290289,27.4486797805,27.7716369799,26.7779975986,26.773049071,26.8111865046,26.8843181517,27.0344990142,27.2326454385,27.3763872506,27.4811471055,27.6520259043,27.7282789562,27.8550858608,27.9099707835,7.95714285714
26,28.1179028958,27.3712477435,26.9913137099,26.8359693438,26.8923216124,27.1620895799,27.4610280542,27.7777641315,26.8472483658,26.8280768461,26.856376568,26.9206129142,27.0606956153,27.2508013501,27.3903410868,27.4925647004,27.6600035452,27.7349028746,27.8597443485,27.9138590971,8.27142857143
27,28.299944055,27.5017875095,27.0850432584,26.8994532393,26.9328779598,27.1841568932,27.4735018968,27.783966324,26.917140044,26.8836293256,26.9020003787,26.9572613376,27.0871501612,27.2691382635,27.4044378152,27.5041031608,27.6680732839,27.7416084999,27.8644693137,27.9178080779,8.58571428571
28,28.4828534101,27.6331815884,27.1795141229,26.9635185881,26.9738374652,27.206465239,27.4861370089,27.7902797678,26.9876914481,26.9397314286,26.9480864131,26.9942947613,27.1138964511,27.2876913022,27.4187130739,27.5157983794,27.6762712836,27.7484320947,27.869297123,27.9218541264,8.9
29,28.6666025547,27.7654155413,27.2747269869,27.0281796171,27.0152229379,27.2290420085,27.4989622269,27.796733819,27.0589147615,26.9964012612,26.9946562762,27.0317376291,27.1409613927,27.3064887135,27.4331956333,27.5276793854,27.6846268499,27.7554030659,27.8742572903,27.9260267916,9.21428571429
30,28.851161645,27.898471597,27.3706778853,27.0934451704,27.0570515923,27.2519089812,27.5120007886,27.8033522435,27.1308168292,27.053651401,27.0417259803,27.0696087618,27.1683662708,27.3255531348,27.4479086612,27.5397696105,27.6931636961,27.7625452301,27.8793737413,27.9303500348,9.52857142857
31,29.0365001196,28.0323295869,27.4673592245,27.1593197416,27.0993360685,27.2750833383,27.5252713445,27.810154229,27.2034001942,27.1114899278,27.0893069688,27.1079223761,27.1961277619,27.3449026064,27.4628707357,27.5520879002,27.7019009546,27.7698778247,27.8846658253,27.9348432419,9.84285714286
32,29.2225872362,28.1669676765,27.5647605974,27.225804306,27.142085256,27.2985784793,27.5387887721,27.8171551981,27.2766639324,27.1699212533,27.1374069413,27.1466889059,27.2242587509,27.3645513859,27.478096658,27.5646493274,27.7108539903,27.7774163213,27.8901491277,27.939522036,10.1571428571
33,29.4093924689,28.3023629378,27.6628694387,27.2928969947,27.1853049603,27.3224046812,27.5525648345,27.8243674664,27.3506043301,27.2289467953,27.1860305233,27.1859156667,27.2527689922,27.3845106075,27.4935981123,27.5774658513,27.7200350585,27.7851730837,27.8958361287,27.9443989355,10.4714285714
34,29.5968857985,28.4384917969,27.7616715519,27.3605936439,27.2289984463,27.3465696365,27.5666087154,27.8318007771,27.425215435,27.2885655269,27.2351798114,27.2256073977,27.2816656479,27.4047888183,27.5093841999,27.5905468517,27.7294538401,27.7931579029,27.9017367376,27.9494838885,10.7857142857
35,29.7850379204,28.5753303823,27.8611515345,27.4288882438,27.2731668831,27.3710788918,27.5809274569,27.8394627385,27.5004895067,27.3487744268,27.2848548204,27.2657667055,27.3109537276,27.4253924163,27.5254618781,27.6038995671,27.7391178785,27.8013784336,27.9078587298,27.9547847104,11.1
36,29.9738203903,28.7128547958,27.9612931217,27.4977733073,27.3178097107,27.395936209,27.5955263182,27.8473591823,27.5764173872,27.4095688496,27.3350538513,27.3063944286,27.3406364505,27.4463260104,27.5418363186,27.6175294534,27.7490329384,27.8098405534,27.9142081053,27.9603074417,11.4142857143
37,30.1632057221,28.8510413209,28.0620794638,27.5672401739,27.3629249421,27.4211438628,27.6104090721,27.8554944589,27.6529888049,27.470942832,27.3857737953,27.3474899395,27.3707155433,27.467592717,27.5585112036,27.6314404795,27.7592033011,27.8185486579,27.9207893841,27.9660566435,11.7285714286
