,F070W,F090W,F115W,F150W,F200W,F277W,F356W,F444W,F140M,F162M,F182M,F210M,F250M,F300M,F335M,F360M,F410M,F430M,F460M,F480M,z
13,39.6473020359,35.8785852827,32.2895674773,28.6234718615,26.8337277072,26.7066687447,27.0847096861,27.5049087134,29.9693699793,28.0064794017,27.2529300662,26.5120124689,26.8219387217,26.6413307354,26.8625467454,27.1541086951,27.4919899337,27.511281963,27.5074534497,27.6828969091,4.18571428571
14,40.7901985265,36.7576873027,32.7783369524,29.4351867542,27.2385272851,26.8001011947,26.9981329085,27.5429732008,31.2595673522,28.4959362568,27.6610598596,27.0527160926,26.6570576337,26.8126311418,26.8708928797,26.9770908102,27.517336751,27.5034294321,27.477909155,27.4674432628,4.5
15,41.9306645606,37.6351649707,33.1429502511,30.5763847265,27.7107640132,26.9199557703,26.9976162168,27.5681497521,31.8881024596,29.3584347727,28.1896024589,27.3922152853,26.9163075783,26.9770788879,26.8891911558,27.0247135045,27.4083188709,27.6879257706,27.660113842,27.7247614327,4.81428571429
16,43.0691706653,38.5113735372,35.3097541575,31.6706055672,28.0025783763,26.9675610591,27.053191916,27.52162579,32.5600383908,30.6724747188,28.5682931166,27.7475882823,26.7952516117,27.0915992149,27.0297430281,27.0658963925,27.2307950471,27.5110682965,27.8879475965,27.7305277377,5.12857142857
17,44.2060833259,39.3865784431,35.9900433493,32.3643809185,28.5473611015,27.0844658973,27.1579530206,27.5238426416,33.2796743336,31.6899775087,29.2344631008,28.2504313324,27.2300897448,27.0726919422,27.1772606086,27.0991053792,27.2729756272,27.3453620018,27.7241531571,27.9502081209,5.44285714286
18,45.3416927659,40.26098209,36.6700427152,32.8257024222,29.0342505528,27.215171789,27.2371043206,27.4527343813,33.2523582823,32.1966576152,30.1722345057,28.5615830061,27.7054425042,27.136455644,27.272166803,27.2178966134,27.2717417741,27.2653902659,27.6373011973,27.7650587789,5.75714285714
19,46.4762320404,41.1347417703,37.3498592032,33.1699534077,29.5296992124,27.4116756762,27.3015031497,27.418989667,33.2256203339,32.7703857814,31.2335386453,28.9775731425,27.6896358202,27.1969970371,27.2978000986,27.3584118551,27.2582304872,27.4855719074,27.4392809603,27.6604315564,6.07142857143
20,47.6098904787,42.0079818829,38.029570657,33.4813370039,30.1565877268,27.6019101053,27.3876945888,27.4557663061,33.4982057399,33.427948944,32.0271746089,29.5841335089,28.2392299329,27.2180599832,27.3198903297,27.4454475564,27.391078794,27.2758894373,27.4853746587,27.4583901042,6.38571428571
21,48.7428233661,42.8808023898,38.7092342791,35.338494236,31.012090395,27.8741324431,27.4173267441,27.4755614135,36.2576075822,33.5584543348,32.5170385009,30.6491842087,28.615088533,27.5426919008,27.3581637966,27.4341027376,27.4753729666,27.4396025446,27.6116967096,27.6397255355,6.7
22,49.8751590675,43.7532847607,39.3888924971,35.8547125481,31.8709882881,28.2040867566,27.4541355308,27.5777023527,36.8304110613,33.5362564328,33.0210089153,31.5387118891,28.8219355772,27.8360562231,27.4128688642,27.4562603616,27.5947882881,27.6457200341,27.4276659113,27.6274423706,7.01428571429
23,51.0070043742,44.6254962163,40.0685770676,36.3713074969,32.5819343642,28.4763750495,27.5217645501,27.6153311875,37.4042628264,33.5257326335,33.4736317469,32.2195474255,29.1170049182,28.0815914249,27.4665202767,27.5058069496,27.6561249217,27.539802528,27.5617468309,27.4885736643,7.32857142857
24,52.1384485914,45.4974928036,40.7483119719,36.8882690787,32.9829820726,28.6989839033,27.6579496654,27.6527265872,37.9791270319,33.8572546452,33.7431204664,32.5801218485,29.5335581808,28.2379918908,27.7626006837,27.5509367245,27.6426755293,27.8222476747,27.8129767263,27.648001524,7.64285714286
25,53.269566714,46.3693216605,41.4281154736,37.4055839819,33.3220623457,29.0835422973,27.7936138828,27.7238556741,38.5549647968,36.5535817643,33.7802418953,33.0337623079,30.3483037465,28.6383249853,28.0065821923,27.5654678134,27.6556105627,27.8365095837,27.6604335622,27.8351565336,7.95714285714
26,54.4004219302,47.2410227104,42.1080015902,37.9232370242,33.5676332548,29.4494197072,27.9228232146,27.7864225091,39.1317357051,37.0444714379,33.7532510888,33.5008110811,31.2155329859,28.9374024515,28.2609891925,27.8303902711,27.6966252254,27.6253431122,27.866711472,27.7506984495,8.27142857143
